SampleID,RunID,SIA,group,Alanine,Glycine,Threonine,Serine,Valine,Leucine,Isoleucine,Proline,Aspartic.acid,Glutamic.acid,Phenylalanine,Tyrosine,Lysine
MDF-FR13-PLKT,506,d13C.AA,Plankton,-15.26,-11.09,-9.99,-0.42,-22.25,-23.5,-18.35,-15.41,-14.69,-12.91,-22.52,-23.06,-14.47
MDF-FR3-PLKT,450,d13C.AA,Plankton,-10.81,-4.2,-7.76,7.49,-19.24,-22.05,-14.83,-10.4,-9.54,-9.23,-19.82,-20.52,-11.92
MDF-FR4-PLKT,508,d13C.AA,Plankton,-20.77,-17.08,-11.33,-0.8,-25.76,-27.57,-20.18,-17.86,-20.52,-15.72,-26.93,-25.98,-17.65
MDF-FR5-PLKT,520,d13C.AA,Plankton,-15.67,-12.41,-8.02,NA,-22.19,-24.03,-17.7,-15.92,-14,-11.03,-23.78,-26.65,-15.43
MDF-FR7-PLKT,476,d13C.AA,Plankton,-19.24,-12.83,-9.61,-2.53,-25.37,-27.37,-18.59,-18.13,-13.61,-16.41,-27.85,-26,-15.68
MDF-LAG-West-PLKT,451,d13C.AA,Plankton,-9.79,-9.94,-4.99,-9.82,-21,-24.35,-14.8,-11.58,-10.39,-10.97,-20.13,-22.86,-14.43
MDF-LAG-EAST-PLKT-2,452,d13C.AA,Plankton,-15.63,-12.79,-11.68,1.21,-22.51,-26.85,-17.17,-15.47,-16.57,-16.48,-21.71,-24,-13.42
MDF-LAG-WEST-AINSLEY-PLKT,516,d13C.AA,Plankton,-16.45,-6.68,-7.64,-0.3,-20.19,-22.26,-16,-12.65,-15.38,-13.57,-21.32,-21.13,-11.94
MDF-LAG-CENT-PLKT,514,d13C.AA,Plankton,-13.53,-8.08,-7.34,4.07,-19.16,-23.47,-16.23,-14,-14.4,-12.09,-21.57,-22.59,-13.56
MDF-FR13-POM,506,d13C.AA,POM,-20.06,-19.23,-13.94,-4.94,-29.88,-26.45,-19.17,-18.29,-20.45,-17.74,-26.38,-24.54,-15.98
MDF-FR13-POM-2,510,d13C.AA,POM,-18.08,-9.98,-13.21,0.1,-25.04,-25.96,-17.75,-17.36,-20.05,-18.89,-25.97,-26.34,-16.25
MDF-FR3-POM1+2,453,d13C.AA,POM,-18.23,-16.09,-9.93,-14,-22.81,-25.37,-17.99,-11.44,-13.68,-15.04,-23.3,NA,-14.53
MDF-LAG-East-Buoy-POM,448,d13C.AA,POM,-16.04,-18.79,-11.11,-1.12,-23.71,-28.01,-19.76,-15.86,-15.93,-17.45,-24.23,-23.9,-16.68
MDF-LAG-WEST-Ainsley-POM,472,d13C.AA,POM,-15.08,-12.52,-10.59,-5.64,-19.75,-23.08,-16.41,-13.39,-11.72,-14.13,-21.48,-19.08,-10.12
MDF-LAG-WEST-POM-2,454,d13C.AA,POM,-13.54,-11.08,-5.61,-21.94,-16.4,-20.55,-10.72,-10.99,-8.76,-9.86,-17.16,NA,-8.73
MDF-LAG-CENT-POM,514,d13C.AA,POM,-18.07,NA,-10.89,-5.11,-22.65,-25.65,-19.59,-16.77,-14.76,-14.39,-25.22,-23.74,-18.05
MDF-LAG-E-POM-2,520,d13C.AA,POM,-17.61,NA,-11.62,NA,-23.84,-22.83,-17.54,NA,-12.57,-12.15,-25.21,NA,-17.94
