Species,Genotype,Tag,Tank,Light.Trt,Feed.Trt,Treat.Int,Fraction,Sample.ID,d15N,d13C,C:N,d13C.H.S,d15N.H.S
plankton,plank,NA,plank,plank,plank,plank,plank,PLANK,7.1,-21.8,4.418660287,NA,NA
M capitata,A,89,tank5,Light,NoFeed,L-NF,host,T5A-HOST,5,-15.7,6.125506073,0.7,1.1
M capitata,A,89,tank5,Light,NoFeed,L-NF,symb,T5A-SYMB,3.9,-16.4,6.397101449,NA,NA
M capitata,B,90,tank5,Light,NoFeed,L-NF,host,T5B-HOST,5.7,-17.5,6.277777778,0.9,1.2
M capitata,B,90,tank5,Light,NoFeed,L-NF,symb,T5B-SYMB,4.5,-18.4,7.026315789,NA,NA
M capitata,A,91,tank6,Light,Fed,L-F,host,T6A-HOST,5.1,-15.8,6.28,1.3,1.5
M capitata,A,91,tank6,Light,Fed,L-F,symb,T6A-SYMB,3.6,-17.1,6.901015228,NA,NA
M capitata,B,92,tank6,Light,Fed,L-F,host,T6B-HOST,5.6,-17.3,6.23929471,0.8,1.1
M capitata,B,92,tank6,Light,Fed,L-F,symb,T6B-SYMB,4.5,-18.1,7.14416476,NA,NA
M capitata,A,93,tank8,Dark,Fed,D-F,host,T8A-HOST,5.1,-15.1,6.187165775,0.2,1.4
M capitata,A,93,tank8,Dark,Fed,D-F,symb,T8A-SYMB,3.7,-15.3,5.32,NA,NA
M capitata,B,94,tank8,Dark,Fed,D-F,host,T8B-HOST,5.8,-16.4,5.759469697,0.2,0.7
M capitata,B,94,tank8,Dark,Fed,D-F,symb,T8B-SYMB,5.1,-16.6,5.337662338,NA,NA
