Species,Genotype,Tag,Tank,Feeding,Light,Treat.Int,Fraction,Sample.ID,analysis.ID,Amino.acid,d13C.value
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Alanine,-15.07127193
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Glycine,-13.66494253
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Threonine,-8.147979798
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Serine,-7.561111111
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Valine,-23.11566667
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Leucine,-23.71818182
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Isoleucine,-12.49757576
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Norleucine,-27.226125
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Proline,-9.735
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Aspartic acid,-9.783585859
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Methionine,NA
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Glutamic acid,-7.517105263
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Phenylalanine,-20.02070313
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Aminoadipic Acid,-21.62868056
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Tyrosine,-21.74075521
M. capitata,A,89,5,NoFeed,Ambient,L-NF,host,T5A-HOST,B1V3_Sam7,Lysine,-12.67463768
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Alanine,-15.61403509
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Glycine,-13.49195402
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Threonine,-11.28888889
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Serine,-8.251851852
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Valine,-25.13866667
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Leucine,-25.62969697
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Isoleucine,-15.43818182
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Norleucine,-28.19122222
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Proline,-10.64066667
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Aspartic acid,-11.33939394
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Methionine,NA
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Glutamic acid,-9.660526316
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Phenylalanine,-21.8234375
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Aminoadipic Acid,-22.17088889
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Tyrosine,-22.4375
M. capitata,B,90,5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1_Sam1,Lysine,-12.20869565
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Alanine,-14.50109649
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Glycine,-14.08103448
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Threonine,-9.963636364
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Serine,-11.27592593
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Valine,-23.75633333
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Leucine,-24.87181818
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Isoleucine,-13.28318182
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Norleucine,-27.78070833
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Proline,-10.85566667
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Aspartic acid,-11.56136364
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Methionine,NA
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Glutamic acid,-8.284210526
M. capitata,A,91,6,Feed,Ambient,L-F,host,T6A-HOST,B2V6_Sam6,Phenylalanine,-18.23359375
