Location,Coral.Species,SampleID,Source,Size.fraction,RunID,Ala13C,Gly13C,Thr13C,Ser13C,Val13C,Leu13C,Ile13C,Pro13C,Asp13C,Glx13C,Phe13C,Tyr13C,Lys13C,Site,group,group2
Palmyra,Pocillopora meandrina,MDF-FR239-T2,Fox et al. Fun Ecol 2019,host,452,-16.54,-8.89,-2.71,-4.58,-30.34,-24.05,-17.78,-7.86,-14.79,-10.35,-19.48,-21.22,-11.44,FR239,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR239-T4,Fox et al. Fun Ecol 2019,host,453,-11.26,-6.44,-9.98,-4.73,-19.94,-23.12,-14.04,-5.64,-10.31,-9.1,-19.85,-22.09,-8.77,FR239,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR239-T5,Fox et al. Fun Ecol 2019,host,474,-14.37,-4.85,-7.19,-5.99,-21.83,-25.24,-11.26,-9.81,-13.37,-8.4,-18.3,-19.44,-8.37,FR239,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR14-T1,Fox et al. Fun Ecol 2019,host,572,-9.9,-9,-3.64,-0.93,-18.75,-22.34,-10.72,-6.48,-8.6,-4.98,-17.57,-21.54,-9.43,FR239,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR13-T3,Fox et al. Fun Ecol 2019,host,518,-13.54,-6.82,-2.86,-0.18,-23.86,-23.57,-11.07,-6.94,-13.25,-2.45,-20.4,-20.11,-7.62,FR9,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR13-T2,Fox et al. Fun Ecol 2019,host,508,-19.3,-7.84,-6.55,-3.46,-22.68,-25.04,-11.56,-8.47,-16.83,-9.82,-21.79,-20.7,-11.03,FR9,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR13-T4,Fox et al. Fun Ecol 2019,host,516,-16.77,-10.23,-6.13,-5,-25.38,-25.85,-13.1,-8.49,-15.77,-9.49,-22.63,-21.3,-12.81,FR9,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR13-T1,Fox et al. Fun Ecol 2019,host,564,-8.76,-5.33,-7.42,-8.22,-19.3,-24.22,-14.94,-5.23,-6.64,-8.27,-20.98,-22.53,-10.39,FR9,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR9-T4,Fox et al. Fun Ecol 2019,host,572,-10.61,-6.92,-2.37,-0.83,-17.45,-21.52,-11.72,-7.58,-6.79,-4.34,-17.6,-20.97,-8.57,FR9,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR4-T4,Fox et al. Fun Ecol 2019,host,476,-13.53,-7.83,-2.63,2.09,-21.01,-23.81,-11.46,-9.18,-11.6,-6.92,-22.78,-20.78,-9.5,FR4,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR4-T5,Fox et al. Fun Ecol 2019,host,475,-12.22,-7.66,-2.28,-0.62,-21.33,-23.21,-9.09,-7.74,-10.44,-6.58,-20.82,-20.73,-9.26,FR4,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR4-T6,Fox et al. Fun Ecol 2019,host,477,-12.01,-13.75,-1.46,-1.73,-20.68,-23.64,-10.08,-7.92,-11.97,-7.44,-20.43,-21.89,-11.68,FR4,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR4-T1,Fox et al. Fun Ecol 2019,host,562,-12.37,-4.72,-5.67,-4.7,-21.47,-25.03,-12.29,-7.8,-11.23,-9.41,-20,-22.89,-9.24,FR4,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR4-T3,Fox et al. Fun Ecol 2019,host,573,-7.82,-7,-3.13,-0.64,-16.66,-22.28,-11.79,-5.23,-6.18,-7.68,-17.78,-19.48,-8.99,FR4,Animal,Animal
Palmyra,Plankton,MDF-FR13-PLKT,Fox et al. Fun Ecol 2019,>163um,506,-15.26,-11.09,-9.99,-0.42,-22.25,-23.5,-18.35,-15.41,-14.69,-12.91,-22.52,-23.06,-14.47,FR9,Plankton,Source
Palmyra,Plankton,MDF-FR3-PLKT,Fox et al. Fun Ecol 2019,>163um,450,-10.81,-4.2,-7.76,7.49,-19.24,-22.05,-14.83,-10.4,-9.54,-9.23,-19.82,-20.52,-11.92,FR3,Plankton,Source
Palmyra,Plankton,MDF-FR4-PLKT,Fox et al. Fun Ecol 2019,>163um,508,-20.77,-17.08,-11.33,-0.8,-25.76,-27.57,-20.18,-17.86,-20.52,-15.72,-26.93,-25.98,-17.65,FR4,Plankton,Source
Palmyra,Plankton,MDF-FR5-PLKT,Fox et al. Fun Ecol 2019,>163um,520,-15.67,-12.41,-8.02,NA,-22.19,-24.03,-17.7,-15.92,-14,-11.03,-23.78,-26.65,-15.43,FR4,Plankton,Source
Palmyra,Plankton,MDF-FR7-PLKT,Fox et al. Fun Ecol 2019,>163um,476,-19.24,-12.83,-9.61,-2.53,-25.37,-27.37,-18.59,-18.13,-13.61,-16.41,-27.85,-26,-15.68,FR7,Plankton,Source
Palmyra,Plankton,MDF-LAG-West-PLKT,Fox et al. Fun Ecol 2019,>163um,451,-9.79,-9.94,-4.99,-9.82,-21,-24.35,-14.8,-11.58,-10.39,-10.97,-20.13,-22.86,-14.43,LAG,Plankton,Source
Palmyra,Plankton,MDF-LAG-EAST-PLKT-2,Fox et al. Fun Ecol 2019,>163um,452,-15.63,-12.79,-11.68,1.21,-22.51,-26.85,-17.17,-15.47,-16.57,-16.48,-21.71,-24,-13.42,LAG,Plankton,Source
Palmyra,Plankton,MDF-LAG-WEST-AINSLEY-PLKT,Fox et al. Fun Ecol 2019,>163um,516,-16.45,-6.68,-7.64,-0.3,-20.19,-22.26,-16,-12.65,-15.38,-13.57,-21.32,-21.13,-11.94,LAG,Plankton,Source
Palmyra,Plankton,MDF-LAG-CENT-PLKT,Fox et al. Fun Ecol 2019,>163um,514,-13.53,-8.08,-7.34,4.07,-19.16,-23.47,-16.23,-14,-14.4,-12.09,-21.57,-22.59,-13.56,LAG,Plankton,Source
Palmyra,POM,MDF-FR13-POM,Fox et al. Fun Ecol 2019,>0.7um,506,-20.06,-19.23,-13.94,-4.94,-29.88,-26.45,-19.17,-18.29,-20.45,-17.74,-26.38,-24.54,-15.98,FR9,POM,Source
Palmyra,POM,MDF-FR13-POM-2,Fox et al. Fun Ecol 2019,>0.7um,510,-18.08,-9.98,-13.21,0.1,-25.04,-25.96,-17.75,-17.36,-20.05,-18.89,-25.97,-26.34,-16.25,FR13,POM,Source
Palmyra,POM,MDF-FR3-POM1+2,Fox et al. Fun Ecol 2019,>0.7um,453,-18.23,-16.09,-9.93,-14,-22.81,-25.37,-17.99,-11.44,-13.68,-15.04,-23.3,NA,-14.53,FR3,POM,Source
Palmyra,POM,MDF-LAG-East-Buoy-POM,Fox et al. Fun Ecol 2019,>0.7um,448,-16.04,-18.79,-11.11,-1.12,-23.71,-28.01,-19.76,-15.86,-15.93,-17.45,-24.23,-23.9,-16.68,LAG,POM,Source
Palmyra,POM,MDF-LAG-WEST-Ainsley-POM,Fox et al. Fun Ecol 2019,>0.7um,472,-15.08,-12.52,-10.59,-5.64,-19.75,-23.08,-16.41,-13.39,-11.72,-14.13,-21.48,-19.08,-10.12,LAG,POM,Source
Palmyra,POM,MDF-LAG-WEST-POM-2,Fox et al. Fun Ecol 2019,>0.7um,454,-13.54,-11.08,-5.61,-21.94,-16.4,-20.55,-10.72,-10.99,-8.76,-9.86,-17.16,NA,-8.73,LAG,POM,Source
Palmyra,POM,MDF-LAG-CENT-POM,Fox et al. Fun Ecol 2019,>0.7um,514,-18.07,NA,-10.89,-5.11,-22.65,-25.65,-19.59,-16.77,-14.76,-14.39,-25.22,-23.74,-18.05,LAG,POM,Source
Palmyra,POM,MDF-LAG-E-POM-2,Fox et al. Fun Ecol 2019,>0.7um,520,-17.61,NA,-11.62,NA,-23.84,-22.83,-17.54,NA,-12.57,-12.15,-25.21,NA,-17.94,LAG,POM,Source
Palmyra,Pocillopora meandrina,MDF-FR13-Z3,Fox et al. Fun Ecol 2019,symbiont,518,-13.27,-8.55,-3.37,-3.32,-23.67,-26.19,-12.22,-9.42,-12.1,-10.42,-22.92,-21.53,-10.11,FR9,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR13-Z2,Fox et al. Fun Ecol 2019,symbiont,508,-18.64,NA,-3.71,-1.85,-22.04,-23.03,-11.46,-6.49,-13.84,-7.06,-19.29,-20.73,-9.56,FR9,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR13-Z4,Fox et al. Fun Ecol 2019,symbiont,516,-12.34,3.65,-1.16,-0.85,-22.15,-23.84,-11.42,-7.3,-11.56,-8.67,-21.94,-21.08,-9.8,FR9,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR239-Z2,Fox et al. Fun Ecol 2019,symbiont,448,-12.31,-15.14,-5.05,-11.29,-18.88,-27.2,-11.6,-8,-13.3,-11.38,-20.61,-22.34,-9.78,FR239,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR239-Z4,Fox et al. Fun Ecol 2019,symbiont,452,-10.91,-10.02,-3.62,-8.53,-22.13,-26.65,-13.01,-6.44,-13.78,-9.99,-20.6,-23.08,-10.13,FR239,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR239-Z5,Fox et al. Fun Ecol 2019,symbiont,470,-13.38,-8.89,-1.58,-4.88,-23.3,-25.02,-12.79,-9.06,-13.68,-9.4,-19.56,-21.38,-11.57,FR239,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR3-Z1,Fox et al. Fun Ecol 2019,symbiont,470,-13.25,-10.3,1.09,-5,-21.98,-25.33,-12.65,-8.2,-13.51,-9.86,-21.77,-20.5,-10.86,FR3,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR3-Z5,Fox et al. Fun Ecol 2019,symbiont,470,-12.91,-9.48,1.56,-2.93,-20.17,-22.99,-10.68,-7.78,-11.01,-8.33,-19.42,-18.86,-9.15,FR3,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR4-Z6,Fox et al. Fun Ecol 2019,symbiont,477,-10.1,-10.13,0.75,3.07,-19.94,-22.11,-10.23,-5.9,-4.86,-3.01,-20.13,-18.71,-10.29,FR4,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR4-Z4,Fox et al. Fun Ecol 2019,symbiont,475,-12.09,-8.8,-0.49,-2.32,-20.67,-22.42,-9.42,-6.35,-7.77,-6.57,-19.11,-21.18,-13.65,FR4,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR4-Z5,Fox et al. Fun Ecol 2019,symbiont,477,-14.69,-16.68,-3.04,-6.05,-21.47,-24.65,-10.29,-8.84,-11.79,-9.03,-22.17,-23.3,-15.42,FR4,Zoox,Zoox
Palmyra,Pocillopora meandrina,MDF-FR3-T1,Fox et al. Fun Ecol 2019,host,453,-9.15,-3.99,-7.31,-3,-21.1,-22.92,-11.53,-4.43,-8.26,-7.32,-18.85,-25.27,-8.66,FR3,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR3-T4,Fox et al. Fun Ecol 2019,host,474,-11.17,-5.49,-4.41,-1.23,-18,-22.92,-7.9,-8.34,-9.7,-5.43,-19.3,-16.71,-3.59,FR3,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR3-T2,Fox et al. Fun Ecol 2019,host,564,-10.76,-5.12,-9.22,-8.03,-17.99,-24.81,-17.55,-7.8,-8.15,-7.52,-20.97,-22.94,-10.32,FR3,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-FR39-T4,Fox et al. Fun Ecol 2019,host,572,-9.97,NA,-5.5,-3.8,-19.54,-22.4,-13.66,-6.77,-17.25,-3.52,-18.48,-21.29,-9.87,FR3,Animal,Animal
Palmyra,Pocillopora meandrina,MDF-TEST1-Coral,Fox et al. Fun Ecol 2019,host,448,-11.44,-12.02,-7.48,-8.38,-21.13,-24.65,-12.85,-7.79,-11.84,-8.62,-21.22,-24.16,-10.48,FR3,Animal,Animal
Red Sea,Plankton,Plankton_Ron_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-9.18,,-23.5,-25.28,-18.16,,,,-25.14,,,,Plankton,Source
Red Sea,Plankton,Plankton_Ron_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-10.11,,-22.91,-25.72,-17.27,,,,-24.37,,,,Plankton,Source
Red Sea,Plankton,Plankton_Ron_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-9.51,,-23.27,-25.64,-17.87,,,,-24.55,,,,Plankton,Source
Red Sea,Plankton,Plankton_LJ_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-8.22,,-23.21,-26.44,-17.95,,,,-25.1,,,,Plankton,Source
Red Sea,Plankton,Plankton_LJ_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-8.02,,-23.43,-26.94,-18.34,,,,-24.87,,,,Plankton,Source
Red Sea,Plankton,Plankton_LJ_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-7.87,,-22.88,-26.41,-17.49,,,,-24.7,,,,Plankton,Source
Red Sea,Plankton,Plankton_Saut_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-7.34,,-22.08,-24.08,-15.04,,,,-24.88,,,,Plankton,Source
Red Sea,Plankton,Plankton_Saut_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-8.03,,-21.22,-23.56,-14.19,,,,-23.55,,,,Plankton,Source
Red Sea,Plankton,Plankton_Saut_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-7.58,,-19.81,-22.38,-12.87,,,,-23.04,,,,Plankton,Source
Red Sea,Plankton,Plankton_Brown_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-7.43,,-22.99,-24.93,-15.89,,,,-24.75,,,,Plankton,Source
Red Sea,Plankton,Plankton_Brown_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-7.46,,-22.85,-24.52,-16.22,,,,-23.52,,,,Plankton,Source
Red Sea,Plankton,Plankton_Brown_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-8.53,,-22.91,-25.08,-16.9,,,,-23.21,,,,Plankton,Source
Red Sea,Plankton,Plankton_Canyon_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-10.69,,-21.72,-25.47,-17.5,,,,-24.37,,,,Plankton,Source
Red Sea,Plankton,Plankton_Canyon_R2,McMahon et al. Oecologia 2013,>333um,NA,,,-9.27,,-19.23,-25,-16.2,,,,-23.48,,,,Plankton,Source
Red Sea,Plankton,Plankton_Canyon_R3,McMahon et al. Oecologia 2013,>333um,NA,,,-11.23,,-20.69,-25.49,-16,,,,-24.39,,,,Plankton,Source
Red Sea,Plankton,Plankton_Shib_R1,McMahon et al. Oecologia 2013,>333um,NA,,,-10.76,,-20.88,-25.14,-16.25,,,,-23.89,,,,Plankton,Source
