,Species,Genotype,Tag,Tank,Feeding,Light,Treat.Int,Fraction,Sample.ID,Analysis.ID,Amino.acid,d15N.value,AA.short,AA.cat,mean,dev,sum,sumV
1,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1,Alanine,8.45,Ala,Troph,7.415,1.035,5.81,0.968333333
6,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1,Leucine,5.64,Leu,Troph,,1.775,,
7,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1,Isoleucine,6.41,Ile,Troph,,1.005,,
9,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1,Proline,8.63,Pro,Troph,,1.215,,
10,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1,Aspartic acid,8.07,Asp,Troph,,0.655,,
12,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,host,T5B-HOST,B1V1,Glutamic acid,7.29,Glu,Troph,,0.125,,
17,M. capitata,A,91,tank6,Feed,Ambient,L-F,symb,T6A-SYMB,B1V2,Alanine,4.76,Ala,Troph,4.606666667,0.153333333,6.826666667,1.137777778
22,M. capitata,A,91,tank6,Feed,Ambient,L-F,symb,T6A-SYMB,B1V2,Leucine,1.76,Leu,Troph,,2.846666667,,
23,M. capitata,A,91,tank6,Feed,Ambient,L-F,symb,T6A-SYMB,B1V2,Isoleucine,6.83,Ile,Troph,,2.223333333,,
25,M. capitata,A,91,tank6,Feed,Ambient,L-F,symb,T6A-SYMB,B1V2,Proline,4.04,Pro,Troph,,0.566666667,,
26,M. capitata,A,91,tank6,Feed,Ambient,L-F,symb,T6A-SYMB,B1V2,Aspartic acid,4.91,Asp,Troph,,0.303333333,,
28,M. capitata,A,91,tank6,Feed,Ambient,L-F,symb,T6A-SYMB,B1V2,Glutamic acid,5.34,Glu,Troph,,0.733333333,,
33,M. capitata,A,93,tank8,Feed,Dark,D-F,host,T8A-HOST,B1V3,Alanine,5.76,Ala,Troph,6.81,1.05,6.24,1.04
38,M. capitata,A,93,tank8,Feed,Dark,D-F,host,T8A-HOST,B1V3,Leucine,5.83,Leu,Troph,,0.98,,
39,M. capitata,A,93,tank8,Feed,Dark,D-F,host,T8A-HOST,B1V3,Isoleucine,9.93,Ile,Troph,,3.12,,
41,M. capitata,A,93,tank8,Feed,Dark,D-F,host,T8A-HOST,B1V3,Proline,6.64,Pro,Troph,,0.17,,
42,M. capitata,A,93,tank8,Feed,Dark,D-F,host,T8A-HOST,B1V3,Aspartic acid,6.17,Asp,Troph,,0.64,,
44,M. capitata,A,93,tank8,Feed,Dark,D-F,host,T8A-HOST,B1V3,Glutamic acid,6.53,Glu,Troph,,0.28,,
49,M. capitata,A,89,tank5,NoFeed,Ambient,L-NF,symb,T5A-SYMB,B1V4,Alanine,4.16,Ala,Troph,5.256666667,1.096666667,5.98,0.996666667
54,M. capitata,A,89,tank5,NoFeed,Ambient,L-NF,symb,T5A-SYMB,B1V4,Leucine,3.47,Leu,Troph,,1.786666667,,
55,M. capitata,A,89,tank5,NoFeed,Ambient,L-NF,symb,T5A-SYMB,B1V4,Isoleucine,7.97,Ile,Troph,,2.713333333,,
57,M. capitata,A,89,tank5,NoFeed,Ambient,L-NF,symb,T5A-SYMB,B1V4,Proline,5.15,Pro,Troph,,0.106666667,,
58,M. capitata,A,89,tank5,NoFeed,Ambient,L-NF,symb,T5A-SYMB,B1V4,Aspartic acid,5.36,Asp,Troph,,0.103333333,,
60,M. capitata,A,89,tank5,NoFeed,Ambient,L-NF,symb,T5A-SYMB,B1V4,Glutamic acid,5.43,Glu,Troph,,0.173333333,,
65,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,symb,T5B-SYMB,B1V6,Alanine,3.41,Ala,Troph,4.638333333,1.228333333,9.47,1.578333333
70,M. capitata,B,90,tank5,NoFeed,Ambient,L-NF,symb,T5B-SYMB,B1V6,Leucine,2.82,Leu,Troph,,1.818333333,,
