AA.short,AA.cat,Fraction,Treat.Int,d15N.value,SD, sum of mean/sd, inv SD,wt.mean,wt.SD
Ile,Source,host,D-F,7.605,3.288046533,0.703433923,0.092496242,4.696325305,3.288046533
Glx,Source,host,D-F,6.585,0.077781746,1088.429752,165.2892562,,
Asx,Source,host,D-F,6.395,0.318198052,63.16049383,9.87654321,,
Ala,Source,host,D-F,6.74,1.385929291,3.508954602,0.52061641,,
Pro,Source,host,D-F,6.71,0.098994949,684.6938776,102.0408163,,
Gly,Source,host,D-F,2.28,2.135462479,0.499978071,0.219288628,,
Ser,Source,host,D-F,3.385,0.049497475,1381.632653,408.1632653,,
Leu,Trophic,host,D-F,5.37,0.650538239,12.68903592,2.36294896,6.269947884,0.650538239
Lys,Trophic,host,D-F,2.835,1.378858223,1.49112426,0.525969757,,
Phe,Trophic,host,D-F,1.95,0.296984848,22.10884354,11.33786848,,
Thr,Trophic,host,D-F,-1.42,1.13137085,-1.109375,0.78125,,
Val,Trophic,host,D-F,6.38,0.042426407,3544.444444,555.5555556,,
Tyr,Trophic,host,D-F,1.605,1.449568901,0.763831053,0.475907198,,
Ile,Source,symb,D-F,4.45,0.650538239,10.51512287,2.36294896,4.63314784,0.650538239
Glx,Source,symb,D-F,6.155,1.590990258,2.431604938,0.395061728,,
Asx,Source,symb,D-F,5.725,1.152584053,4.309533667,0.752756972,,
Ala,Source,symb,D-F,6.755,1.97282792,1.735589214,0.256934007,,
Pro,Source,symb,D-F,4.675,0.459619408,22.13017751,4.733727811,,
Gly,Source,symb,D-F,3.565,2.071822869,0.83052802,0.232967187,,
Ser,Source,symb,D-F,3.26,0.961665222,3.525086505,1.081314879,,
Leu,Trophic,symb,D-F,3.26,0.806101731,5.016928286,1.538935057,4.322221134,0.806101731
Lys,Trophic,symb,D-F,3.545,2.241528496,0.705549861,0.199026759,,
Phe,Trophic,symb,D-F,1.945,0.912167748,2.337599904,1.20185085,,
Thr,Trophic,symb,D-F,-0.14,1.994041123,-0.035209497,0.251496404,,
Val,Trophic,symb,D-F,5.77,1.400071427,2.943577186,0.510152025,,
Tyr,Trophic,symb,D-F,4.745,0.28991378,56.45449137,11.89767995,,
Ile,Source,host,L-F,5.29,1.315218613,3.058157012,0.578101515,5.721747645,1.315218613
Glx,Source,host,L-F,5.925,0.134350288,328.2548476,55.40166205,,
Asx,Source,host,L-F,5.725,0.007071068,114500,20000,,
Ala,Source,host,L-F,6.165,0.700035713,12.58034894,2.040608101,,
Pro,Source,host,L-F,5.82,0.127279221,359.2592593,61.72839506,,
Gly,Source,host,L-F,2.325,0.261629509,33.96639883,14.6092038,,
Ser,Source,host,L-F,3.31,0.268700577,45.84487535,13.85041551,,
Leu,Trophic,host,L-F,3.88,0.763675324,6.652949246,1.714677641,2.737391541,0.763675324
Lys,Trophic,host,L-F,3.25,0.311126984,33.57438017,10.33057851,,
Phe,Trophic,host,L-F,1.525,1.180868325,1.093621141,0.717128617,,
Thr,Trophic,host,L-F,-1.56,0.735391052,-2.884615385,1.849112426,,
Val,Trophic,host,L-F,6.205,1.039446968,5.742977463,0.925540284,,
Tyr,Trophic,host,L-F,2.345,0.487903679,9.850871666,4.200798152,,
Ile,Source,symb,L-F,5.585,1.760695885,1.801583845,0.322575442,5.313865336,1.760695885
Glx,Source,symb,L-F,5.475,0.190918831,150.2057613,27.43484225,,
Asx,Source,symb,L-F,5.145,0.332340187,46.58216388,9.05387053,,
Ala,Source,symb,L-F,5.565,1.138441918,4.293815825,0.771575171,,
Pro,Source,symb,L-F,3.41,0.890954544,4.295792391,1.259763165,,
Gly,Source,symb,L-F,5.1,1.48492424,2.31292517,0.453514739,,
Ser,Source,symb,L-F,3.945,1.42128463,1.952921957,0.495037252,,
Leu,Trophic,symb,L-F,2.065,0.431335137,11.09916689,5.374899221,2.881257306,0.431335137
Lys,Trophic,symb,L-F,2.535,1.152584053,1.908238925,0.752756972,,
Phe,Trophic,symb,L-F,1.15,3.493107499,0.09424839,0.081955121,,
Thr,Trophic,symb,L-F,2.145,2.934493142,0.249092757,0.116127159,,
Val,Trophic,symb,L-F,6.16,0.834386002,8.848032175,1.43636886,,
Tyr,Trophic,symb,L-F,4.085,2.694076836,0.562823348,0.137778053,,
Ile,Source,host,L-NF,5.895,0.728319985,11.11320577,1.885191818,7.278508253,0.728319985
Glx,Source,host,L-NF,6.62,0.947523087,7.373579862,1.113833816,,
Asx,Source,host,L-NF,7.19,1.244507935,4.642303719,0.645661157,,
Ala,Source,host,L-NF,8.15,0.424264069,45.27777778,5.555555556,,
Pro,Source,host,L-NF,7.9,1.032375901,7.412272471,0.938262338,,
Gly,Source,host,L-NF,3.91,1.414213562,1.955,0.5,,
Ser,Source,host,L-NF,4.49,2.856711396,0.550191158,0.122537006,,
Leu,Trophic,host,L-NF,4.69,1.343502884,2.59833795,0.55401662,2.795156386,1.343502884
Lys,Trophic,host,L-NF,3.16,0.466690476,14.5087236,4.591368228,,
Phe,Trophic,host,L-NF,0.565,0.912167748,0.67904573,1.20185085,,
Thr,Trophic,host,L-NF,-0.21,3.719381669,-0.015180211,0.072286718,,
Val,Trophic,host,L-NF,6.13,2.008183259,1.520035707,0.247966673,,
Tyr,Trophic,host,L-NF,2.37,0.806101731,3.647276085,1.538935057,,
