"","Location","Fraction","ID","Leu.n","Ile.n","Phe.n","Thr.n","Val.n"
"15","Palmyra","Plankton",1,-4.178,0.971999999999998,-3.198,9.332,-2.928
"16","Palmyra","Plankton",2,-5.31,1.91,-3.08,8.98,-2.5
"17","Palmyra","Plankton",3,-5.216,2.174,-4.576,11.024,-3.406
"18","Palmyra","Plankton",4,-4.886,1.444,-4.636,11.124,-3.046
"19","Palmyra","Plankton",5,-5.612,3.168,-6.092,12.148,-3.612
"20","Palmyra","Plankton",6,-7.296,2.254,-3.076,12.064,-3.946
"21","Palmyra","Plankton",7,-6.866,2.814,-1.726,8.304,-2.526
"22","Palmyra","Plankton",8,-4.778,1.482,-3.838,9.842,-2.708
"23","Palmyra","Plankton",9,-5.916,1.324,-4.016,10.214,-1.606
"24","Palmyra","POM",10,-3.286,3.994,-3.216,9.224,-6.716
"25","Palmyra","POM",11,-4.374,3.836,-4.384,8.376,-3.454
"26","Palmyra","POM",12,-5.49,1.89,-3.42,9.95,-2.93
"27","Palmyra","POM",13,-6.646,1.604,-2.866,10.254,-2.346
"28","Palmyra","POM",14,-4.818,1.852,-3.218,7.672,-1.488
"29","Palmyra","POM",15,-6.462,3.368,-3.072,8.478,-2.312
"30","Palmyra","POM",16,-4.85,1.21,-4.42,9.91,-1.85
"31","Palmyra","POM",17,-2.622,2.668,-5.002,8.588,-3.632
"32","Palmyra","Symbiont",18,-8.516,5.454,-5.246,14.304,-5.996
"33","Palmyra","Symbiont",19,-7.124,4.446,-3.384,12.196,-6.134
"34","Palmyra","Symbiont",20,-7.738,4.682,-5.838,14.942,-6.048
"35","Palmyra","Symbiont",21,-10.532,5.068,-3.942,11.618,-2.212
"36","Palmyra","Symbiont",22,-9.448,4.192,-3.398,13.582,-4.928
"37","Palmyra","Symbiont",23,-8.57,3.66,-3.11,14.87,-6.85
"38","Palmyra","Symbiont",24,-9.202,3.478,-5.642,17.218,-5.852
"39","Palmyra","Symbiont",25,-8.65,3.66,-5.08,15.9,-5.83
"40","Palmyra","Symbiont",26,-7.778,4.102,-5.798,15.082,-5.608
"41","Palmyra","Symbiont",27,-7.998,5.002,-4.688,13.932,-6.248
"42","Palmyra","Symbiont",28,-8.326,6.034,-5.846,13.284,-5.146
"48","Red Sea","Plankton",29,-5.028,2.092,-4.888,11.072,-3.248
"49","Red Sea","Plankton",30,-5.644,2.806,-4.294,9.966,-2.834
"50","Red Sea","Plankton",31,-5.472,2.298,-4.382,10.658,-3.102
"51","Red Sea","Plankton",32,-6.256,2.234,-4.916,11.964,-3.026
"52","Red Sea","Plankton",33,-6.62,1.98,-4.55,12.3,-3.11
"53","Red Sea","Plankton",34,-6.54,2.38,-4.83,12,-3.01
"54","Red Sea","Plankton",35,-5.396,3.644,-6.196,11.344,-3.396
"55","Red Sea","Plankton",36,-5.45,3.92,-5.44,10.08,-3.11
"56","Red Sea","Plankton",37,-5.244,4.266,-5.904,9.556,-2.674
"57","Red Sea","Plankton",38,-5.732,3.308,-5.552,11.768,-3.792
"58","Red Sea","Plankton",39,-5.606,2.694,-4.606,11.454,-3.936
"59","Red Sea","Plankton",40,-5.754,2.426,-3.884,10.796,-3.584
"60","Red Sea","Plankton",41,-5.52,2.45,-4.42,9.26,-1.77
"61","Red Sea","Plankton",42,-6.364,2.436,-4.844,9.366,-0.594000000000001
"62","Red Sea","Plankton",43,-5.93,3.56,-4.83,8.33,-1.13
"63","Red Sea","Plankton",44,-5.756,3.134,-4.506,8.624,-1.496
"64","Red Sea","Plankton",45,-6.078,2.512,-4.338,9.352,-1.448
"65","Red Sea","Plankton",46,-6.23,2.47,-5.16,9.44,-0.52
"66","Red Sea","Plankton",47,-6.014,2.786,-4.374,9.016,-1.414
"67","Red Sea","Plankton",48,-5.982,1.718,-3.982,10.518,-2.272
"68","Red Sea","Plankton",49,-5.512,3.128,-4.382,8.488,-1.722
"69","Red Sea","Plankton",50,-6.428,3.582,-4.188,9.112,-2.078
"70","Red Sea","Plankton",51,-7.048,3.442,-4.128,9.152,-1.418
"71","Red Sea","Plankton",52,-6.2,3.21,-4.09,9.37,-2.29
"96","culture","Microalgae",53,-4.84,-4.74,-1.94,12.56,-1.04
"97","culture","Microalgae",54,-5.64,1.46,-4.24,10.86,-2.44
"98","culture","Microalgae",55,-5.94,0.0599999999999987,-2.44,11.46,-3.14
