"","Location","Species","Fraction","Leu","Ile","Phe","Thr","Lys","Val"
"1","Palmyra","P meandrina","host.Pal",-24.05,-17.78,-19.48,-2.71,-11.44,-30.34
"2","Palmyra","P meandrina","host.Pal",-23.12,-14.04,-19.85,-9.98,-8.77,-19.94
"3","Palmyra","P meandrina","host.Pal",-25.24,-11.26,-18.3,-7.19,-8.37,-21.83
"4","Palmyra","P meandrina","host.Pal",-22.34,-10.72,-17.57,-3.64,-9.43,-18.75
"5","Palmyra","P meandrina","host.Pal",-23.57,-11.07,-20.4,-2.86,-7.62,-23.86
"6","Palmyra","P meandrina","host.Pal",-25.04,-11.56,-21.79,-6.55,-11.03,-22.68
"7","Palmyra","P meandrina","host.Pal",-25.85,-13.1,-22.63,-6.13,-12.81,-25.38
"8","Palmyra","P meandrina","host.Pal",-24.22,-14.94,-20.98,-7.42,-10.39,-19.3
"9","Palmyra","P meandrina","host.Pal",-21.52,-11.72,-17.6,-2.37,-8.57,-17.45
"10","Palmyra","P meandrina","host.Pal",-23.81,-11.46,-22.78,-2.63,-9.5,-21.01
"11","Palmyra","P meandrina","host.Pal",-23.21,-9.09,-20.82,-2.28,-9.26,-21.33
"12","Palmyra","P meandrina","host.Pal",-23.64,-10.08,-20.43,-1.46,-11.68,-20.68
"13","Palmyra","P meandrina","host.Pal",-25.03,-12.29,-20,-5.67,-9.24,-21.47
"14","Palmyra","P meandrina","host.Pal",-22.28,-11.79,-17.78,-3.13,-8.99,-16.66
"15","Palmyra","Plankton","plank.Pal",-23.5,-18.35,-22.52,-9.99,-14.47,-22.25
"16","Palmyra","Plankton","plank.Pal",-22.05,-14.83,-19.82,-7.76,-11.92,-19.24
"17","Palmyra","Plankton","plank.Pal",-27.57,-20.18,-26.93,-11.33,-17.65,-25.76
"18","Palmyra","Plankton","plank.Pal",-24.03,-17.7,-23.78,-8.02,-15.43,-22.19
"19","Palmyra","Plankton","plank.Pal",-27.37,-18.59,-27.85,-9.61,-15.68,-25.37
"20","Palmyra","Plankton","plank.Pal",-24.35,-14.8,-20.13,-4.99,-14.43,-21
"21","Palmyra","Plankton","plank.Pal",-26.85,-17.17,-21.71,-11.68,-13.42,-22.51
"22","Palmyra","Plankton","plank.Pal",-22.26,-16,-21.32,-7.64,-11.94,-20.19
"23","Palmyra","Plankton","plank.Pal",-23.47,-16.23,-21.57,-7.34,-13.56,-19.16
