,Location,Species,Fraction,Leu,Ile,Phe,Thr,Val
1,Palmyra,P meandrina,host.Pal,-24.05,-17.78,-19.48,-2.71,-30.34
2,Palmyra,P meandrina,host.Pal,-23.12,-14.04,-19.85,-9.98,-19.94
3,Palmyra,P meandrina,host.Pal,-25.24,-11.26,-18.3,-7.19,-21.83
4,Palmyra,P meandrina,host.Pal,-22.34,-10.72,-17.57,-3.64,-18.75
5,Palmyra,P meandrina,host.Pal,-23.57,-11.07,-20.4,-2.86,-23.86
6,Palmyra,P meandrina,host.Pal,-25.04,-11.56,-21.79,-6.55,-22.68
7,Palmyra,P meandrina,host.Pal,-25.85,-13.1,-22.63,-6.13,-25.38
8,Palmyra,P meandrina,host.Pal,-24.22,-14.94,-20.98,-7.42,-19.3
9,Palmyra,P meandrina,host.Pal,-21.52,-11.72,-17.6,-2.37,-17.45
10,Palmyra,P meandrina,host.Pal,-23.81,-11.46,-22.78,-2.63,-21.01
11,Palmyra,P meandrina,host.Pal,-23.21,-9.09,-20.82,-2.28,-21.33
12,Palmyra,P meandrina,host.Pal,-23.64,-10.08,-20.43,-1.46,-20.68
13,Palmyra,P meandrina,host.Pal,-25.03,-12.29,-20,-5.67,-21.47
14,Palmyra,P meandrina,host.Pal,-22.28,-11.79,-17.78,-3.13,-16.66
15,Palmyra,Plankton,plank.Pal,-23.5,-18.35,-22.52,-9.99,-22.25
16,Palmyra,Plankton,plank.Pal,-22.05,-14.83,-19.82,-7.76,-19.24
17,Palmyra,Plankton,plank.Pal,-27.57,-20.18,-26.93,-11.33,-25.76
18,Palmyra,Plankton,plank.Pal,-24.03,-17.7,-23.78,-8.02,-22.19
19,Palmyra,Plankton,plank.Pal,-27.37,-18.59,-27.85,-9.61,-25.37
20,Palmyra,Plankton,plank.Pal,-24.35,-14.8,-20.13,-4.99,-21
21,Palmyra,Plankton,plank.Pal,-26.85,-17.17,-21.71,-11.68,-22.51
22,Palmyra,Plankton,plank.Pal,-22.26,-16,-21.32,-7.64,-20.19
23,Palmyra,Plankton,plank.Pal,-23.47,-16.23,-21.57,-7.34,-19.16
24,Palmyra,POM,POM.Pal,-26.45,-19.17,-26.38,-13.94,-29.88
25,Palmyra,POM,POM.Pal,-25.96,-17.75,-25.97,-13.21,-25.04
26,Palmyra,POM,POM.Pal,-25.37,-17.99,-23.3,-9.93,-22.81
27,Palmyra,POM,POM.Pal,-28.01,-19.76,-24.23,-11.11,-23.71
28,Palmyra,POM,POM.Pal,-23.08,-16.41,-21.48,-10.59,-19.75
29,Palmyra,POM,POM.Pal,-20.55,-10.72,-17.16,-5.61,-16.4
30,Palmyra,POM,POM.Pal,-25.65,-19.59,-25.22,-10.89,-22.65
31,Palmyra,POM,POM.Pal,-22.83,-17.54,-25.21,-11.62,-23.84
32,Palmyra,P meandrina,symb.Pal,-26.19,-12.22,-22.92,-3.37,-23.67
33,Palmyra,P meandrina,symb.Pal,-23.03,-11.46,-19.29,-3.71,-22.04
34,Palmyra,P meandrina,symb.Pal,-23.84,-11.42,-21.94,-1.16,-22.15
35,Palmyra,P meandrina,symb.Pal,-27.2,-11.6,-20.61,-5.05,-18.88
36,Palmyra,P meandrina,symb.Pal,-26.65,-13.01,-20.6,-3.62,-22.13
37,Palmyra,P meandrina,symb.Pal,-25.02,-12.79,-19.56,-1.58,-23.3
38,Palmyra,P meandrina,symb.Pal,-25.33,-12.65,-21.77,1.09,-21.98
