"","Species","Genotype","Tag","Tank","Light.Trt","Feed.Trt","Treat.Int","Fraction","Sample.ID","Analysis.ID","Alanine","Glycine","Threonine","Serine","Valine","Leucine","Isoleucine","Proline","Aspartic.acid","Glutamic.acid","Phenylalanine","Tyrosine","Lysine","TP"
"1","plankton","plank",NA,"plank","plank","plank","plank","plank","PLANK","B1V5",12.52790887,5.600842659,-1.981262272,6.050563061,9.787650821,6.715856037,7.246780684,11.98844757,8.93673969,11.55222248,0.569874978,4.617273065,3.838998722,1.99767730289474
"2","M capitata","A",89,"tank5","Light","NoFeed","L-NF","host","T5A-HOST","B1V7.redo",7.847327468,2.91427932,-2.841545925,2.471675187,4.713939928,3.738042173,5.378339006,7.172413667,6.307249092,5.953691521,1.206622541,2.944837735,2.827532853,1.17724591842105
"3","M capitata","A",89,"tank5","Light","NoFeed","L-NF","symb","T5A-SYMB","B1V4",4.161510574,2.416593573,-0.88769904,2.673792285,5.625749388,3.470355938,7.967820501,5.148293449,5.360154798,5.426751177,2.33843881,3.217574253,2.002628487,0.958988469342105
"4","M capitata","B",90,"tank5","Light","NoFeed","L-NF","host","T5B-HOST","B1V1",8.445,4.909333333,2.415,6.512,7.545,5.638,6.414333333,8.628333333,8.073333333,7.287666667,-0.076,1.804333333,3.494666667,1.52153508776316
"5","M capitata","B",90,"tank5","Light","NoFeed","L-NF","symb","T5B-SYMB","B1V6",3.413051468,4.41810205,3.14079699,5.217704939,6.315661279,2.821052992,7.518209422,2.949744657,5.197028703,5.92778456,3.663046837,5.685931659,3.202732585,0.850623384605263
"6","M capitata","A",91,"tank6","Light","Fed","L-F","host","T6A-HOST","B2V6",6.664737072,2.513625133,-2.075883157,3.121291803,6.944946507,4.422417671,6.219414623,5.728406394,5.733160962,6.024922368,2.361962656,1.998484538,3.03083465,1.03459996210526
"7","M capitata","A",91,"tank6","Light","Fed","L-F","symb","T6A-SYMB","B1V2",4.758715155,4.04948396,0.069691887,2.942486647,5.572359956,1.757356703,6.828874711,4.039184658,4.905036262,5.337606916,-1.323199824,2.18495528,1.719355833,1.42905351842105
"8","M capitata","B",92,"tank6","Light","Fed","L-F","host","T6B-HOST","B2V1",5.672675299,2.143736904,-1.0361209,3.501343406,5.474638663,3.341358614,4.355346127,5.909505437,5.718191896,5.829239654,0.686516539,2.691482066,3.466718676,1.22930567302632
"9","M capitata","B",92,"tank6","Light","Fed","L-F","symb","T6B-SYMB","B2V4",6.373142875,6.153863875,4.215246521,4.945441917,6.749994221,2.366618037,4.339027129,2.784974453,5.379592298,5.609523042,3.619483477,5.991883911,3.34951687,0.814478890131579
"10","M capitata","A",93,"tank8","Dark","Fed","D-F","host","T8A-HOST","B1V3",5.758753109,0.774931109,-2.222030893,3.351731168,6.410435572,5.830963364,9.929012286,6.64410275,6.168844138,6.529513518,2.160831129,0.577875829,1.860628595,1.12745820907895
"11","M capitata","A",93,"tank8","Dark","Fed","D-F","symb","T8A-SYMB","B2V3",5.360114751,2.096891134,-1.548357144,2.579622382,4.776016544,2.689574165,4.910402056,4.348096094,4.914364282,5.030589589,1.295200661,4.542905558,1.957222654,1.04413012210526
"12","M capitata","B",94,"tank8","Dark","Fed","D-F","host","T8B-HOST","B2V2",7.724145657,3.790911777,-0.623322748,3.42300805,6.353736503,4.913520753,5.277348841,6.779098336,6.622148206,6.644920178,1.744132444,2.632964921,3.807909399,1.19747207026316
"13","M capitata","B",94,"tank8","Dark","Fed","D-F","symb","T8B-SYMB","B2V5.redo",8.146048659,5.033310184,1.27248727,3.93570313,6.7604201,3.827548384,3.994466835,5.001673522,6.542721235,7.280611881,2.590156969,4.953693582,5.133633063,1.16979669894737
